Reaction Date,Reaction Type,Parent Type,Parent ID
"May 19, 2019, 2:39:22 PM",Kudos,Activity,2378806198
"May 19, 2019, 2:39:23 PM",Kudos,Activity,2377932797
"May 19, 2019, 2:39:28 PM",Kudos,Activity,2378077001
"May 21, 2019, 6:29:56 PM",Kudos,Activity,2384649117
"May 23, 2019, 11:35:30 AM",Kudos,Activity,2389089044
"May 23, 2019, 11:36:27 AM",Kudos,Activity,2388773914
"May 23, 2019, 11:36:55 AM",Kudos,Activity,2388301504
"May 25, 2019, 12:48:27 AM",Kudos,Activity,2394454775
"May 25, 2019, 12:51:38 AM",Kudos,Activity,2391659707
"May 25, 2019, 12:51:51 AM",Kudos,Activity,2391663024
"May 25, 2019, 5:23:46 PM",Kudos,Activity,2395749814
"Jun 5, 2019, 6:40:02 PM",Kudos,Activity,2424384088
"Jun 5, 2019, 6:40:07 PM",Kudos,Activity,2426318925
"Jun 5, 2019, 6:40:10 PM",Kudos,Activity,2426274551
"Jun 12, 2019, 5:55:26 PM",Kudos,Activity,2443999568
"Jun 12, 2019, 5:55:59 PM",Kudos,Activity,2443011329
"Jun 16, 2019, 1:19:57 AM",Kudos,Activity,2452822387
"Jun 16, 2019, 1:20:17 AM",Kudos,Activity,2452681305
"Jun 24, 2019, 5:26:47 PM",Kudos,Activity,2477029237
"Jun 24, 2019, 5:27:36 PM",Kudos,Activity,2476773048
"Jun 24, 2019, 5:30:10 PM",Kudos,Activity,2473728622
"Jun 25, 2019, 7:00:29 PM",Kudos,Activity,2479365903
"Jun 25, 2019, 7:00:34 PM",Kudos,Activity,2479106284
"Jun 25, 2019, 7:00:41 PM",Kudos,Activity,2478898499
"Jun 25, 2019, 9:42:04 PM",Kudos,Activity,2480472539
"Jun 25, 2019, 9:48:06 PM",Kudos,Activity,2458883487
"Jun 26, 2019, 6:29:58 PM",Kudos,Activity,2480893370
"Jun 26, 2019, 6:30:01 PM",Kudos,Activity,2481708330
"Jun 29, 2019, 9:34:41 PM",Kudos,Activity,2488221389
"Jun 29, 2019, 9:35:07 PM",Kudos,Activity,2487676347
"Jun 29, 2019, 9:37:15 PM",Kudos,Activity,2486979213
"Jun 29, 2019, 9:38:20 PM",Kudos,Activity,2485545642
"Jun 29, 2019, 9:38:25 PM",Kudos,Activity,2485367334
"Jun 30, 2019, 3:42:48 PM",Kudos,Activity,2490397879
"Jul 2, 2019, 6:58:08 PM",Kudos,Activity,2498411063
"Jul 2, 2019, 6:59:28 PM",Kudos,Activity,2497961655
"Jul 2, 2019, 6:59:58 PM",Kudos,Activity,2496806948
"Jul 2, 2019, 7:00:01 PM",Kudos,Activity,2498236309
"Jul 5, 2019, 1:27:42 PM",Kudos,Activity,2505926492
"Jul 7, 2019, 8:44:18 PM",Kudos,Activity,2512334137
"Jul 7, 2019, 8:44:29 PM",Kudos,Activity,2512613489
"Jul 9, 2019, 12:00:33 PM",Kudos,Activity,2516829640
"Jul 9, 2019, 12:03:48 PM",Kudos,Activity,2515860458
"Jul 14, 2019, 5:51:40 PM",Kudos,Activity,2531969143
"Jul 18, 2019, 12:14:07 AM",Kudos,Activity,2538613352
"Jul 18, 2019, 12:15:34 AM",Kudos,Activity,2537602546
"Jul 23, 2019, 2:40:45 PM",Kudos,Activity,2556436936
"Jul 23, 2019, 2:40:50 PM",Kudos,Activity,2555832882
"Jul 25, 2019, 8:18:31 PM",Kudos,Activity,2562160301
